"age","ageshare","femratio","msm_rate","wsw_rate"
12,0.000601326926892714,0.438877026391333,4.88931023066328e-05,0.000677302035743748
13,0.00135915500698777,0.364764756523283,0.000127694117665122,0.00232531027045727
14,0.00258234534940018,0.332484817334622,0.0184504824666455,0.00144977522122257
15,0.003898678854233,0.324103532825993,0.000579720637339392,0.00219511297379039
16,0.00535634195317296,0.3240323654149,0.016554209425615,0.00372652137419055
17,0.00680767698884484,0.334342877164111,0.00761889762445345,0.00480950076388546
18,0.00775913492983329,0.378919935230968,0.00475796367680994,0.00683059413808048
19,0.00854998166350261,0.390786925560211,0.0194817240955204,0.00998745180144447
20,0.00907532042595894,0.418408174556545,0.00530941590407118,0.00864856277029429
21,0.00966682268600341,0.44763334601577,0.00845887307739817,0.0106556639674225
22,0.0101497577216891,0.452316741573928,0.00597965037443755,0.00854389079012092
23,0.0108406524014191,0.468245599649648,0.00867073501175721,0.00801366417920603
24,0.0113396375588177,0.459958977415105,0.00774002879611746,0.00904720876214357
25,0.0120538412348138,0.478695169126042,0.00610322451371673,0.0150032571304402
26,0.0128152961976774,0.477926441603829,0.0105943578343662,0.0159423339352017
27,0.0133560897816523,0.463351174038014,0.0135920434394761,0.0131522476501892
28,0.0138684476391013,0.485296086671381,0.0087665085416897,0.0153550572526338
29,0.0134633829266433,0.479722274254849,0.0114827626529347,0.0117618515305488
30,0.0133374004383332,0.494068211758869,0.00807304440094207,0.0125958187220867
31,0.0132399123864344,0.493708281520497,0.00754633568971324,0.0173423767099385
32,0.0130886539587106,0.492959499188187,0.00575791847954938,0.0169916582792474
33,0.0130145430955894,0.489789642341219,0.00796818391351434,0.0125044447464774
34,0.0129522213171814,0.490438998251228,0.0109070494672656,0.011866282911335
35,0.0140225315658343,0.500370038596287,0.0115769350160613,0.0188482025452565
36,0.0137518223190971,0.497495140667863,0.0069986018477703,0.0137358006520697
37,0.0150401181309613,0.510631489799105,0.00700224455073898,0.0152633551871241
38,0.0157540901406261,0.497850839670245,0.0163533719185424,0.0204071929762076
39,0.0173341395034331,0.495103049250031,0.0117645340373052,0.012431228006923
40,0.018091885720923,0.49076919744906,0.0108101553137142,0.0119233419191527
41,0.0181893516170914,0.502360999812914,0.00708028660155065,0.0112435961723966
42,0.0227989061905057,0.541641150024308,0.00564056878684991,0.0752071763815483
43,0.0204504613251773,0.486488452104511,0.00548076153431452,0.00688221046729111
44,0.0212673627620637,0.500676855137372,0.00582227309081837,0.0115723285068294
45,0.0217901650523754,0.500235724965144,0.00872021752628284,0.0126337830589835
46,0.0224649902793534,0.49155636084683,0.00518680590830395,0.0188908253775751
47,0.0216578954552378,0.496578335698668,0.00312892568861326,0.0089207401150491
48,0.0211902492816485,0.512096375570335,0.0028533105065224,0.0124334168267519
49,0.0209459606826392,0.503102618053973,0.00273524221952266,0.00887995253052625
50,0.0213327798584901,0.508026201393147,0.00302212000685708,0.0199483705633843
51,0.0207367344249166,0.503698213390535,0.00538588695099261,0.0143948434651108
52,0.0191691744590271,0.505659446353848,0.00266884575740756,0.0123000333132309
53,0.0186436861982482,0.494451985433822,0.00132332318953262,0.00768778975745811
54,0.0181492612306826,0.510914481245632,0.00539803131720973,0.00785806721961788
55,0.0179686481724443,0.509387130923582,0.00357800311566396,0.00618878570077805
56,0.016961801700977,0.501925306248361,0.00197681072931114,0.00727549287241261
57,0.0173920137240289,0.511616481532286,0.00324181843676237,0.0109161938326517
58,0.0167689097222157,0.525589278296854,0.000841607712044064,0.00740562824303873
