"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89"
0,0.570055166032549,0.874587487127372,0.975180992834434,0.996667705787609,0.999696458781616,0.999981241098328,0.999999213474983,0.999999977626544,0.999999999568214,0.999999999994347,0.99999999999995,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0.36628011426467,0.727535408945652,0.920523596672578,0.984271701614973,0.997888258892487,0.99980763989377,0.999988112110976,0.999999501563456,0.999999985821496,0.999999999726368,0.999999999996417,0.999999999999968,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0.0659245981152931,0.408057843049441,0.745497527611558,0.925763046621587,0.985308583365043,0.998027474576323,0.999820321156466,0.999988895815282,0.999999534422685,0.999999986756208,0.999999999744407,0.999999999996653,0.99999999999997,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.230343433190438,0,0.00335297563086111,0.238059422874868,0.553173230157443,0.799000202636616,0.930642982613485,0.981642076693642,0.996272694008536,0.999419496426823,0.999930648940423,0.999993644647292,0.999999553249992,0.999999975910497,0.99999999900361,0.999999999968387,0.999999999999231,0.999999999999986,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.486951759612375,0.22086701936443,0.0267475158179952,0,0.15484760665132,0.412469254881545,0.664040662090153,0.841983156543295,0.938866312301846,0.980545577089902,0.994907668616134,0.99890358363459,0.999805824287438,0.999971713784069,0.999996610658387,0.999999665946227,0.999999972918173,0.999999998194073,0.999999999900944,0.999999999995531,0.999999999999834,0.999999999999995,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.661013440439676,0.441850711282906,0.210699106291915,0.041352076252735,0,0.104088344734122,0.310626324123159,0.544415933005649,0.741413003774873,0.87394236409742,0.947221631957224,0.981021272985118,0.994138584298509,0.99844524382554,0.999645801775707,0.999930696560096,0.999988353711988,0.999998319089527,0.999999791634428,0.999999977816418,0.999999997971562,0.9999999998407,0.999999999989255,0.999999999999378,0.999999999999969,0.999999999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.774025244955212,0.610252599512883,0.406065044158089,0.200300358315472,0.0486347751286296,0,0.071279390015614,0.237916562790239,0.447474509754628,0.646056068726099,0.799668622112219,0.899816582591885,0.955733512547401,0.982718292980486,0.994038842858415,0.998183201098227,0.999510767270947,0.999883599055685,0.999975530231527,0.999995454982363,0.999999254111963,0.999999891845631,0.999999986143714,0.999999998431509,0.999999999843126,0.999999999986137,0.999999999998918,0.999999999999925,0.999999999999995,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.848606274470922,0.730765004564958,0.568674470708823,0.377515072211434,0.190713047827529,0.0521791491964925,0,0.0495620621314258,0.186237732797138,0.372344476123252,0.563890864850866,0.727027413885274,0.846080761420091,0.921816195446424,0.964224087832764,0.985252627404626,0.994523682592027,0.99816805431711,0.999447939600695,0.999850131410666,0.999963349098162,0.999991925628392,0.999998397556143,0.999999713511671,0.999999953859631,0.999999993305699,0.999999999125058,0.999999999896984,0.999999999989074,0.999999999998956,0.99999999999991,0.999999999999993,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.898105804961264,0.81476569516322,0.692390046917715,0.533355304249795,0.353335127283213,0.181385950978063,0.0533572708281541,0,0.035014288138394,0.149354218693086,0.315010982287611,0.496121936933449,0.661409880688559,0.792159539393096,0.883455200648244,0.940301600579405,0.972065592592211,0.988059480428859,0.995337552299159,0.998336925485214,0.999458103395114,0.999838702313523,0.999956142200983,0.999989106372662,0.999997528246361,0.99999948767584,0.99999990299559,0.99999998322181,0.999999997349024,0.999999999617375,0.999999999949552,0.999999999993924,0.999999999999331,0.999999999999933,0.999999999999994,0.999999999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.930928812945935,0.872402043374939,0.782385428579679,0.657366614176915,0.501954711054599,0.331647698483404,0.171982506250664,0.052954096828905,0,0.025175527877587,0.122695616363759,0.271093826503118,0.440898817797256,0.604080724988442,0.741166590309873,0.843781855786299,0.912955753910461,0.955223915360444,0.978735772280309,0.990677109848436,0.996226459872119,0.9985899164988,0.999513550073025,0.999845072359455,0.99995444698527,0.999987634753045,0.99999690125444,0.999999283086937,0.999999846875557,0.999999969806045,0.999999994503415,0.999999999076231,0.999999999856672,0.99999999997947,0.999999999997285,0.999999999999668,0.999999999999963,0.999999999999996,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
